"Bird","Sex","TrialNumber","medianTO","NumErrors"
781,"F",2,27.5,4
781,"F",11,27.5,3
781,"F",9,27.5,0
781,"F",1,27.5,1
781,"F",10,27.5,1
781,"F",8,27.5,0
781,"F",6,27.5,0
781,"F",12,27.5,1
781,"F",7,27.5,1
781,"F",5,27.5,2
781,"F",3,27.5,0
781,"F",4,27.5,3
782,"F",7,30.5,1
782,"F",1,30.5,0
782,"F",4,30.5,1
782,"F",5,30.5,1
782,"F",9,30.5,2
782,"F",10,30.5,1
782,"F",6,30.5,0
782,"F",8,30.5,0
782,"F",12,30.5,1
782,"F",11,30.5,1
782,"F",2,30.5,1
782,"F",3,30.5,0
787,"F",4,29.5,2
787,"F",1,29.5,3
787,"F",12,29.5,1
787,"F",7,29.5,1
787,"F",6,29.5,1
787,"F",3,29.5,2
787,"F",10,29.5,0
787,"F",5,29.5,1
787,"F",11,29.5,2
787,"F",8,29.5,0
787,"F",9,29.5,4
787,"F",2,29.5,1
789,"M",11,30,1
789,"M",10,30,0
789,"M",7,30,1
789,"M",1,30,0
789,"M",12,30,1
789,"M",9,30,2
789,"M",8,30,1
789,"M",4,30,1
789,"M",2,30,1
789,"M",6,30,3
789,"M",5,30,1
789,"M",3,30,1
791,"F",11,17,0
791,"F",6,17,2
791,"F",7,17,1
791,"F",8,17,1
791,"F",9,17,1
791,"F",12,17,2
791,"F",4,17,2
791,"F",10,17,0
791,"F",2,17,0
791,"F",5,17,0
791,"F",1,17,0
791,"F",3,17,1
792,"F",9,42,1
792,"F",5,42,2
792,"F",4,42,3
792,"F",7,42,1
792,"F",3,42,2
792,"F",10,42,1
792,"F",1,42,3
792,"F",6,42,2
792,"F",11,42,1
792,"F",12,42,2
792,"F",8,42,0
792,"F",2,42,9
804,"M",3,24.5,1
804,"M",6,24.5,2
804,"M",9,24.5,1
804,"M",7,24.5,2
804,"M",4,24.5,0
804,"M",8,24.5,1
804,"M",11,24.5,1
804,"M",5,24.5,1
804,"M",2,24.5,2
804,"M",12,24.5,1
804,"M",1,24.5,1
804,"M",10,24.5,6
809,"M",4,19,1
809,"M",5,19,2
809,"M",3,19,1
809,"M",9,19,0
809,"M",2,19,1
809,"M",12,19,1
809,"M",7,19,1
809,"M",6,19,1
809,"M",1,19,0
809,"M",10,19,1
809,"M",8,19,1
809,"M",11,19,3
810,"F",9,23,3
810,"F",10,23,0
810,"F",12,23,0
810,"F",4,23,0
810,"F",1,23,2
810,"F",7,23,1
810,"F",5,23,1
810,"F",6,23,0
810,"F",11,23,1
810,"F",8,23,1
810,"F",3,23,4
810,"F",2,23,3
811,"F",1,19.5,2
811,"F",4,19.5,1
811,"F",10,19.5,1
811,"F",11,19.5,1
811,"F",2,19.5,4
811,"F",5,19.5,2
811,"F",9,19.5,2
811,"F",3,19.5,3
811,"F",12,19.5,1
811,"F",8,19.5,0
811,"F",7,19.5,1
811,"F",6,19.5,1
814,"F",1,44,1
814,"F",8,44,0
814,"F",2,44,2
814,"F",12,44,0
814,"F",7,44,0
814,"F",3,44,2
814,"F",9,44,0
