Bird,ATLAS,Date,N,Duration,Distance,Straightness,Speed,dayref,ScaledDay,Pen,Sex,Mass,ScaledMass,Spatial_Score,SpatialRating,Test_Order,ScaledTestOrder
791,44001004168,16/09/2017,99,48600,137.0672381,0.040387178,0.002820314,16,-0.231730105,A,F,760,-0.827003644,2,Ok,17,-0.791675664
1008,44001004108,17/09/2017,115,48300,240.8348273,0.053403598,0.004986228,17,-0.100805669,B,M,880,0.341369844,3,Ok,19,-0.603559961
834,44001004164,16/09/2017,120,42000,45.00671829,0.013224864,0.001071589,16,-0.231730105,A,F,730,-1.119097016,1,Bad,13.5,-1.120878145
830,44001004047,17/09/2017,107,40800,134.6004776,0.044319225,0.003299031,17,-0.100805669,A,M,1030,1.801836703,2,Ok,20,-0.509502109
861,44001004103,16/09/2017,115,39900,76.50588748,0.025203853,0.001917441,16,-0.231730105,D,M,950,1.022921045,9,Good,4,-2.014427736
974,44001004097,16/09/2017,113,39300,134.6337392,0.034095983,0.003425795,16,-0.231730105,B,M,930,0.82819213,2,Ok,37.5,1.136510295
1005,44001004111,17/09/2017,67,39000,147.4603307,0.070055717,0.003781034,17,-0.100805669,B,F,660,-1.800648217,3,Ok,39,1.277597072
830,44001004047,26/09/2017,72,36900,95.79685524,0.032286569,0.002596121,26,1.077514253,A,M,1030,1.801836703,2,Ok,20,-0.509502109
804,44001004173,23/09/2017,78,36600,63.72630772,0.029451565,0.001741156,23,0.684740946,A,M,970,1.217649959,1,Bad,24.5,-0.086241777
958,44001004135,16/09/2017,72,35400,43.99245662,0.01790847,0.001242725,16,-0.231730105,B,F,760,-0.827003644,2,Ok,35,0.901365666
861,44001004103,21/09/2017,112,34800,67.90590864,0.02084903,0.001951319,21,0.422892074,D,M,950,1.022921045,9,Good,4,-2.014427736
787,44001004024,17/09/2017,85,34500,91.36146884,0.045087101,0.002648159,17,-0.100805669,A,F,800,-0.437545815,1,Bad,29.5,0.384047482
885,44001004077,16/09/2017,90,34200,47.28072693,0.013307384,0.001382477,16,-0.231730105,C,F,670,-1.703283759,3,Ok,43,1.653828479
1005,44001004111,16/09/2017,76,33900,53.60475231,0.02094213,0.001581261,16,-0.231730105,B,F,660,-1.800648217,3,Ok,39,1.277597072
887,44001004162,17/09/2017,59,33600,81.07330621,0.05441881,0.002412896,17,-0.100805669,D,M,860,0.146640929,1,Bad,28,0.242960704
804,44001004173,30/09/2017,105,32700,104.3342917,0.029894772,0.003190651,30,1.601211996,A,M,970,1.217649959,1,Bad,24.5,-0.086241777
856,44001004101,30/09/2017,91,30300,158.1289721,0.049532835,0.005218778,30,1.601211996,D,M,1000,1.509743331,4,Good,44.5,1.794915256
781,44001004148,16/09/2017,78,30000,68.57136715,0.030106702,0.002285712,16,-0.231730105,A,F,780,-0.632274729,2,Ok,27.5,0.195931778
892,44001004139,17/09/2017,53,29400,65.62686152,0.046781303,0.002232206,17,-0.100805669,D,M,920,0.730827673,3,Ok,17.5,-0.744646738
905,44001004131,16/09/2017,69,29100,106.1263547,0.052289319,0.003646954,16,-0.231730105,C,F,790,-0.534910272,0,Bad,27,0.148902852
836,44001004109,17/09/2017,84,28800,281.7266456,0.118638164,0.009782175,17,-0.100805669,A,M,950,1.022921045,2,Ok,11,-1.356022774
877,44001004113,17/09/2017,58,28500,89.4374773,0.051011254,0.003138157,17,-0.100805669,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
810,44001004102,30/09/2017,91,28200,60.73867676,0.017941496,0.002153854,30,1.601211996,A,F,710,-1.31382593,1,Bad,23,-0.227328554
781,44001004148,15/09/2017,88,27900,23.58847018,0.008072973,0.000845465,15,-0.36265454,A,F,780,-0.632274729,2,Ok,27.5,0.195931778
814,44001004057,16/09/2017,52,26400,68.07839277,0.026748214,0.002578727,16,-0.231730105,A,F,820,-0.2428169,3,Ok,44,1.747886331
836,44001004109,24/09/2017,88,26100,134.9027251,0.055606302,0.005168687,24,0.815665381,A,M,950,1.022921045,2,Ok,11,-1.356022774
885,44001004077,24/09/2017,86,26100,101.3923796,0.041405047,0.003884766,24,0.815665381,C,F,670,-1.703283759,3,Ok,43,1.653828479
974,44001004097,24/09/2017,88,26100,144.463096,0.057388824,0.005534985,24,0.815665381,B,M,930,0.82819213,2,Ok,37.5,1.136510295
859,44001004094,16/09/2017,48,24600,45.92218306,0.038961831,0.001866755,16,-0.231730105,D,M,860,0.146640929,5,Good,23.5,-0.180299628
834,44001004164,17/09/2017,78,24000,117.7325892,0.060281263,0.004905525,17,-0.100805669,A,F,730,-1.119097016,1,Bad,13.5,-1.120878145
861,44001004103,30/09/2017,75,23700,293.3570452,0.130696877,0.012377934,30,1.601211996,D,M,950,1.022921045,9,Good,4,-2.014427736
918,44001004116,17/09/2017,70,23700,103.7990503,0.039811505,0.004379707,17,-0.100805669,C,M,750,-0.924368101,4,Good,37,1.089481369
792,44001004182,17/09/2017,52,23100,44.58823227,0.024677158,0.001930227,17,-0.100805669,A,F,720,-1.216461473,1,Bad,42,1.559770627
830,44001004047,21/09/2017,65,22800,249.839015,0.121030252,0.010957852,21,0.422892074,A,M,1030,1.801836703,2,Ok,20,-0.509502109
859,44001004094,17/09/2017,48,22800,73.3026636,0.051494099,0.003215029,17,-0.100805669,D,M,860,0.146640929,5,Good,23.5,-0.180299628
1006,44001004006,24/09/2017,76,22500,213.5425568,0.107490018,0.00949078,24,0.815665381,B,F,730,-1.119097016,2,Ok,14,-1.073849219
860,44001004060,09/09/2017,67,22500,120.6417157,0.062537275,0.005361854,9,-1.148201155,D,F,800,-0.437545815,3,Ok,41,1.465712776
877,44001004113,11/09/2017,31,22500,62.5827917,0.072385381,0.002781457,11,-0.886352283,D,F,810,-0.340181357,5,Good,15.5,-0.932762442
811,44001004177,17/09/2017,51,22200,78.83336114,0.061530563,0.003551052,17,-0.100805669,A,F,710,-1.31382593,1,Bad,19.5,-0.556531035
836,44001004109,16/09/2017,63,22200,130.4003558,0.06332614,0.00587389,16,-0.231730105,A,M,950,1.022921045,2,Ok,11,-1.356022774
861,44001004103,24/09/2017,75,22200,13.12140084,0.006408018,0.000591054,24,0.815665381,D,M,950,1.022921045,9,Good,4,-2.014427736
889,44001004030,30/09/2017,70,22200,93.10956871,0.041137671,0.004194125,30,1.601211996,D,M,850,0.049276472,2,Ok,6.5,-1.779283106
940,44001004083,18/09/2017,69,22200,27.70248322,0.014704201,0.00124786,18,0.030118767,C,M,970,1.217649959,1,Bad,14,-1.073849219
