"ATLAS","score"
"44001004161",1
"44001004036",3
"44001004111",3
"44001004006",2
"44001004056",2
"44001004108",3
"44001004170",3
"44001004154",2
"44001004058",1
"44001004148",2
"44001004063",1
"44001004124",3
"44001004136",1
"44001004065",4
"44001004008",NA
"44001004024",1
"4400100",2
"44001004160",1
"44001004106",2
"44001004168",2
"44001004182",1
"44001004179",0
"44001004121",1
"44001004176",2
"44001004159",1
"4400100",2
"44001004126",2
"44001004107",3
"44001004100",1
"44001004173",1
"4400100",2
"44001004110",1
"44001004153",1
"44001004102",1
"44001004177",1
"44001004053",1
"44001004057",3
"44001004183",1
"44001004117",2
"44001004037",1
"44001004020",1
"44001004044",NA
"44001004081",NA
"44001004062",7
"44001004070",3
"44001004130",7
"44001004096",1
"4400100",0
"44001004047",2
"44001004033",1
"44001004075",1
"44001004164",1
"44001004045",1
"44001004109",2
"44001004018",1
"44001004034",3
"44001004134",5
"44001004085",2
"44001004098",6
"44001004156",2
"44001004147",3
"44001004046",10
"44001004137",NA
"44001004061",2
"44001004051",3
"44001004073",NA
"44001004011",NA
"4400100",3
"4400100",4
"44001004026",6
"4400100",4
"44001004184",1
"44001004101",4
"44001004146",3
"4400100",5
"44001004094",5
"44001004060",3
"44001004103",9
"44001004095",0
"4400100",2
"44001004128",NA
"44001004105",4
"44001004040",4
"44001004151",7
"44001004150",4
"44001004015",9
"44001004078",5
"44001004158",3
"44001004123",1
"44001004113",5
"44001004074",3
"44001004119",2
"44001004093",3
"44001004155",NA
"44001004043",4
"44001004118",1
"44001004157",7
"44001004077",3
"44001004178",2
"44001004162",1
"44001004090",1
"44001004030",2
"44001004035",NA
"44001004141",3
"44001004139",3
"44001004127",2
"44001004021",2
"44001004014",3
"44001004068",2
"44001004167",1
"44001004025",NA
"44001004144",2
"4400100",1
"44001004017",2
"44001004088",2
"44001004131",0
"44001004099",1
"44001004152",1
"4400100",NA
"44001004029",1
"REMOVED ON DEATH AND REASSIGNED",2
"44001004114",1
"44001004023",0
"44001004120",NA
"44001004013",NA
"44001004116",4
"44001004054",2
"44001004112",1
"44001004084",NA
"44001004072",NA
"44001004027",NA
"44001004076",1
"44001004086",3
"44001004132",1
"44001004104",2
"44001004091",1
"44001004002",2
"44001004066",1
"44001004089",3
"44001004083",1
"44001004001",1
"44001004071",1
"44001004028",1
"44001004004",1
"4400100",1
"44001004175",1
"44001004143",2
"44001004142",0
"44001004069",2
"44001004059",3
"44001004115",6
"44001004055",1
"44001004135",2
"44001004181",1
"44001004180",1
"44001004032",NA
"44001004007",3
"44001004052",3
"44001004082",NA
"44001004133",3
"44001004022",1
"44001004010",1
"44001004009",2
"44001004019",8
"4400100",4
"44001004031",2
"44001004097",2
"44001004145",2
"44001004042",3
"44001004163",2
"44001004140",NA
"44001004087",2
"4400100",NA
"44001004165",4
"44001004012",2
"44001004172",1
"44001004079",2
"44001004129",NA
"44001004005",1
"44001004067",5
"44001004166",1
"44001004122",4
"44001004080",3
"44001004064",3
"44001004039",4
"44001004138",1
"44001004049",2
"44001004171",NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,0
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,1
